LoanID,Age,Income,LoanAmount,CreditScore,MonthsEmployed,NumCreditLines,InterestRate,LoanTerm,DTIRatio,Education,EmploymentType,MaritalStatus,HasMortgage,HasDependents,LoanPurpose,HasCoSigner,Default
LID-10075,47,510000,155000,684,24,5,11.9,24,0.35,Bachelor's,Salaried,Single,No,No,Education,No,1
LID-10076,49,441000,65000,749,84,4,9.7,12,0.28,High School,Salaried,Single,No,Yes,Business,No,0
LID-10077,27,368000,260000,652,32,5,13.3,36,0.41,Bachelor's,Salaried,Divorced,Yes,No,Education,No,0
LID-10078,36,625000,170000,713,22,9,12.8,36,0.28,Bachelor's,Salaried,Single,No,No,Education,No,0
LID-10079,29,788000,180000,723,87,2,13.0,24,0.53,Bachelor's,Self-employed,Single,No,Yes,Business,Yes,0
LID-10080,53,173000,40000,537,161,4,15.3,36,0.19,Master's,Contract,Married,No,No,Auto,Yes,0
LID-10081,43,288000,60000,713,118,2,11.2,24,0.18,High School,Salaried,Married,No,Yes,Auto,No,0
LID-10082,35,628000,265000,609,87,3,13.7,24,0.37,High School,Salaried,Single,No,Yes,Auto,No,1
LID-10083,27,310000,155000,693,53,7,13.0,60,0.32,Bachelor's,Salaried,Single,No,Yes,Other,No,0
LID-10084,35,258000,70000,729,141,4,10.9,36,0.25,Master's,Salaried,Married,No,Yes,Auto,No,0
LID-10085,35,701000,175000,716,103,2,11.3,24,0.24,Bachelor's,Self-employed,Married,No,No,Home,No,0
LID-10086,47,197000,45000,664,57,4,11.6,48,0.38,PhD,Salaried,Divorced,Yes,No,Business,No,0
LID-10087,44,339000,70000,619,144,5,12.8,60,0.24,Master's,Contract,Married,No,No,Business,No,1
LID-10088,54,480000,120000,781,141,2,9.8,36,0.4,Master's,Self-employed,Married,No,No,Business,No,0
LID-10089,39,292000,160000,785,40,6,11.8,36,0.38,Master's,Salaried,Single,No,No,Business,No,0
LID-10090,29,616000,260000,697,84,1,10.7,36,0.28,Master's,Salaried,Single,No,Yes,Business,No,0
LID-10091,46,293000,30000,499,73,5,18.1,12,0.37,Master's,Salaried,Married,No,No,Business,Yes,0
LID-10092,48,869000,275000,563,71,4,15.8,24,0.48,Bachelor's,Salaried,Married,No,Yes,Home,No,0
LID-10093,41,374000,175000,637,90,1,13.3,24,0.34,High School,Salaried,Married,No,Yes,Business,No,0
LID-10094,49,579000,235000,738,103,4,13.3,36,0.58,High School,Salaried,Married,No,No,Education,No,0
LID-10095,39,603000,340000,525,0,5,16.2,48,0.3,High School,Unemployed,Married,No,No,Other,No,1
LID-10096,40,283000,90000,778,20,8,8.5,24,0.13,High School,Salaried,Single,No,No,Other,No,0
LID-10097,38,129000,55000,707,121,3,12.5,12,0.49,High School,Self-employed,Divorced,No,No,Home,No,0
LID-10098,25,488000,165000,701,39,2,14.6,24,0.65,Master's,Salaried,Single,Yes,No,Auto,Yes,0
LID-10099,29,417000,250000,524,75,3,17.2,36,0.34,Bachelor's,Salaried,Single,No,Yes,Home,No,0
LID-10100,25,543000,215000,648,32,1,12.8,24,0.42,Bachelor's,Salaried,Married,No,Yes,Other,Yes,0
LID-10101,44,353000,155000,708,93,1,10.0,24,0.21,Master's,Salaried,Single,No,No,Home,No,0
LID-10102,35,316000,165000,652,99,3,12.7,60,0.36,Bachelor's,Salaried,Single,No,Yes,Home,No,0
LID-10103,40,1208000,290000,615,100,5,14.7,48,0.53,High School,Salaried,Married,Yes,Yes,Education,No,0
LID-10104,56,178000,50000,674,47,4,13.0,60,0.34,Master's,Salaried,Single,No,No,Business,No,0
LID-10105,33,599000,110000,627,70,4,15.6,36,0.36,Bachelor's,Self-employed,Single,No,No,Home,No,0
LID-10106,37,292000,75000,641,155,3,12.7,12,0.28,Bachelor's,Self-employed,Married,No,Yes,Business,No,0
LID-10107,48,333000,175000,607,97,4,16.4,24,0.53,Bachelor's,Contract,Married,No,Yes,Business,Yes,1
LID-10108,33,336000,95000,741,118,5,10.0,24,0.35,Bachelor's,Self-employed,Married,No,Yes,Auto,No,0
LID-10109,28,257000,85000,722,7,5,11.4,48,0.31,Master's,Salaried,Married,No,No,Education,No,0
LID-10110,34,548000,155000,676,4,8,10.7,12,0.21,High School,Contract,Married,No,Yes,Business,Yes,0
LID-10111,31,860000,300000,421,117,5,20.1,36,0.41,PhD,Contract,Single,No,No,Home,Yes,0
LID-10112,57,518000,125000,648,141,5,11.8,12,0.24,High School,Self-employed,Married,Yes,Yes,Other,Yes,0
LID-10113,50,424000,105000,719,85,5,13.8,48,0.42,Bachelor's,Salaried,Single,No,Yes,Business,No,0
LID-10114,44,233000,90000,650,107,3,13.7,12,0.27,Master's,Salaried,Married,No,Yes,Other,No,0
LID-10115,53,532000,130000,700,86,7,12.2,24,0.41,Master's,Self-employed,Single,No,No,Education,No,0
LID-10116,50,1311000,300000,627,87,5,15.1,36,0.47,High School,Contract,Married,No,Yes,Business,Yes,0
LID-10117,32,325000,65000,610,142,1,12.7,60,0.24,High School,Self-employed,Divorced,No,No,Business,No,0
LID-10118,55,326000,170000,723,124,5,12.0,48,0.25,Bachelor's,Self-employed,Married,Yes,No,Auto,No,0
LID-10119,41,294000,125000,591,112,4,12.2,12,0.15,High School,Salaried,Single,No,Yes,Business,Yes,1
LID-10120,50,306000,105000,632,77,2,13.0,48,0.31,Bachelor's,Salaried,Divorced,No,Yes,Business,No,0
LID-10121,55,120000,25000,680,117,1,12.0,36,0.28,Master's,Self-employed,Married,No,Yes,Auto,No,0
LID-10122,35,500000,110000,570,76,4,18.2,48,0.53,Bachelor's,Salaried,Single,No,Yes,Other,Yes,0
LID-10123,29,251000,95000,673,105,8,12.3,36,0.29,High School,Self-employed,Married,No,No,Other,No,0
LID-10124,33,165000,45000,661,59,5,12.5,36,0.29,Bachelor's,Self-employed,Single,No,Yes,Home,No,0
LID-10125,38,606000,280000,629,117,3,13.1,24,0.2,Master's,Salaried,Single,No,No,Other,No,0
LID-10126,51,221000,30000,654,57,5,13.9,36,0.34,Bachelor's,Salaried,Single,No,No,Education,Yes,0
LID-10127,53,332000,110000,641,62,5,13.8,36,0.27,Bachelor's,Self-employed,Single,No,No,Auto,No,0
LID-10128,23,897000,175000,575,27,4,16.6,36,0.43,Bachelor's,Salaried,Single,No,No,Other,No,1
LID-10129,40,184000,90000,628,80,5,13.6,36,0.36,High School,Salaried,Divorced,No,No,Home,Yes,0
LID-10130,37,172000,40000,667,127,4,12.4,36,0.24,High School,Self-employed,Single,No,No,Education,No,0
LID-10131,33,464000,85000,746,42,1,13.0,48,0.32,Bachelor's,Self-employed,Single,No,Yes,Business,No,0
LID-10132,29,753000,160000,570,65,2,15.6,36,0.33,Bachelor's,Contract,Single,Yes,No,Other,No,0
LID-10133,35,168000,45000,613,58,1,14.2,24,0.19,Bachelor's,Salaried,Divorced,No,No,Auto,No,0
LID-10134,58,501000,215000,641,99,4,12.1,60,0.18,Bachelor's,Salaried,Married,No,Yes,Education,No,0
LID-10135,35,551000,135000,782,110,3,11.2,24,0.3,Bachelor's,Self-employed,Married,No,Yes,Education,No,0
LID-10136,40,129000,50000,602,63,2,14.3,24,0.31,High School,Salaried,Single,No,No,Education,Yes,0
LID-10137,46,621000,205000,530,29,3,15.8,48,0.38,Bachelor's,Salaried,Married,No,Yes,Business,Yes,0
LID-10138,36,648000,345000,698,88,8,10.1,24,0.21,Bachelor's,Salaried,Married,Yes,Yes,Auto,No,0
LID-10139,61,337000,40000,677,111,2,13.1,24,0.37,High School,Salaried,Divorced,No,Yes,Education,No,0
LID-10140,60,797000,140000,664,112,2,14.5,24,0.3,High School,Salaried,Married,No,No,Education,Yes,0
LID-10141,33,748000,455000,645,13,4,13.4,36,0.35,Bachelor's,Salaried,Married,No,No,Auto,No,0
LID-10142,40,424000,140000,563,101,4,15.5,24,0.28,Bachelor's,Salaried,Married,No,Yes,Other,No,0
LID-10143,35,312000,115000,541,0,7,13.1,36,0.21,High School,Unemployed,Divorced,No,No,Education,Yes,0
LID-10144,34,234000,105000,761,121,6,10.3,24,0.31,High School,Salaried,Single,No,No,Home,No,0
LID-10145,25,392000,90000,740,61,4,9.3,12,0.17,High School,Salaried,Married,No,Yes,Business,Yes,0
LID-10146,43,548000,210000,725,161,1,10.0,12,0.23,Master's,Salaried,Married,Yes,No,Other,No,0
LID-10147,40,335000,120000,803,19,5,8.5,24,0.24,Bachelor's,Salaried,Married,No,Yes,Other,No,0
LID-10148,26,120000,40000,574,27,4,14.4,36,0.38,Bachelor's,Contract,Married,No,Yes,Business,Yes,0
LID-10149,34,804000,280000,642,114,2,14.1,36,0.22,Master's,Self-employed,Married,No,Yes,Home,Yes,0
LID-10150,56,444000,175000,590,113,3,14.2,24,0.34,Bachelor's,Self-employed,Single,No,No,Education,Yes,0
LID-10151,33,325000,50000,807,65,2,8.5,48,0.22,Bachelor's,Self-employed,Single,No,No,Home,Yes,0
LID-10152,30,641000,300000,641,86,3,12.3,36,0.13,Bachelor's,Contract,Married,No,No,Business,Yes,0
LID-10153,39,926000,330000,711,56,4,12.6,48,0.51,Bachelor's,Salaried,Married,No,No,Auto,No,0
LID-10154,63,120000,45000,641,45,6,12.4,12,0.26,High School,Salaried,Single,No,Yes,Education,No,1
LID-10155,33,508000,200000,598,65,5,15.2,24,0.36,Bachelor's,Salaried,Married,No,Yes,Home,No,0
LID-10156,45,183000,40000,620,83,5,15.0,60,0.42,High School,Salaried,Married,No,Yes,Home,No,0
LID-10157,48,527000,180000,624,77,7,12.7,48,0.38,High School,Self-employed,Married,Yes,Yes,Other,No,1
LID-10158,33,429000,165000,570,107,3,14.9,12,0.35,High School,Salaried,Married,Yes,Yes,Education,Yes,0
LID-10159,47,568000,170000,510,146,3,17.5,12,0.29,Bachelor's,Salaried,Single,No,No,Other,No,0
LID-10160,36,304000,100000,691,166,4,12.0,48,0.36,Master's,Salaried,Married,No,No,Business,No,0
LID-10161,44,143000,50000,697,97,5,10.7,24,0.42,Bachelor's,Salaried,Married,No,No,Education,Yes,0
LID-10162,44,312000,115000,704,24,3,11.7,60,0.21,Master's,Salaried,Married,Yes,Yes,Home,No,0
LID-10163,41,501000,145000,735,165,4,12.4,24,0.36,Bachelor's,Self-employed,Married,No,Yes,Business,No,0
LID-10164,28,700000,125000,582,21,4,13.4,12,0.19,Bachelor's,Salaried,Married,No,No,Home,No,0
LID-10165,52,210000,65000,661,0,6,12.8,24,0.33,High School,Unemployed,Single,No,Yes,Business,No,0
LID-10166,35,704000,270000,723,130,5,12.2,12,0.44,Master's,Self-employed,Single,No,No,Business,No,0
LID-10167,32,280000,100000,683,110,2,11.7,12,0.28,High School,Salaried,Single,No,No,Education,No,0
LID-10168,26,489000,110000,683,14,4,10.4,36,0.35,Bachelor's,Salaried,Single,No,Yes,Education,No,0
LID-10169,42,302000,40000,552,129,4,10.9,24,0.15,Bachelor's,Self-employed,Divorced,No,No,Other,Yes,0
LID-10170,45,442000,130000,642,122,2,12.8,60,0.32,Bachelor's,Self-employed,Single,No,Yes,Business,No,0
LID-10171,24,654000,380000,718,41,5,10.5,48,0.22,High School,Salaried,Married,No,Yes,Business,No,0
LID-10172,40,204000,70000,570,30,6,14.5,36,0.4,Bachelor's,Salaried,Divorced,No,No,Other,Yes,0
LID-10173,33,275000,35000,639,120,5,13.9,12,0.25,Master's,Salaried,Married,No,Yes,Auto,No,0
LID-10174,44,443000,240000,574,36,1,15.9,48,0.21,Master's,Salaried,Single,No,No,Education,No,0
LID-10175,31,1500000,445000,760,96,8,10.3,12,0.22,Master's,Contract,Married,No,No,Education,No,0
LID-10176,46,249000,140000,794,26,5,8.5,12,0.24,Bachelor's,Self-employed,Married,Yes,Yes,Other,No,0
LID-10177,37,1229000,580000,611,54,8,17.0,60,0.45,Bachelor's,Salaried,Divorced,No,No,Auto,Yes,0
LID-10178,58,1206000,430000,823,80,7,8.5,60,0.19,High School,Salaried,Married,No,Yes,Education,No,0
LID-10179,30,379000,85000,580,11,6,15.2,36,0.17,Master's,Self-employed,Divorced,No,No,Business,No,1
LID-10180,36,340000,125000,663,78,2,12.8,36,0.29,Bachelor's,Self-employed,Divorced,No,No,Business,Yes,0
LID-10181,29,274000,65000,647,69,5,12.3,24,0.19,Bachelor's,Salaried,Single,No,No,Home,Yes,0
LID-10182,57,386000,165000,722,133,3,11.0,24,0.4,Master's,Salaried,Married,No,No,Auto,No,0
LID-10183,54,185000,25000,486,19,5,15.5,60,0.25,Bachelor's,Salaried,Married,No,Yes,Education,No,0
LID-10184,34,384000,110000,795,106,8,9.6,12,0.29,Bachelor's,Salaried,Single,No,No,Home,No,0
LID-10185,45,912000,290000,621,105,3,13.9,24,0.32,High School,Contract,Married,Yes,No,Home,No,0
LID-10186,51,286000,105000,585,115,4,14.5,12,0.46,Bachelor's,Salaried,Single,No,No,Home,No,0
LID-10187,41,351000,110000,603,70,6,15.2,36,0.29,Master's,Salaried,Married,No,No,Home,Yes,0
LID-10188,40,157000,50000,596,51,2,13.4,24,0.36,Bachelor's,Salaried,Single,No,No,Business,No,0
LID-10189,33,492000,155000,604,129,6,13.5,24,0.18,High School,Salaried,Married,No,Yes,Business,No,0
LID-10190,28,463000,190000,762,84,7,9.9,24,0.19,High School,Salaried,Married,No,Yes,Other,No,0
LID-10191,55,415000,90000,575,113,6,13.8,36,0.46,Bachelor's,Salaried,Married,No,Yes,Education,Yes,0
LID-10192,55,355000,105000,605,110,3,14.3,48,0.26,Bachelor's,Salaried,Single,No,Yes,Auto,Yes,0
LID-10193,44,341000,95000,671,58,4,10.0,24,0.24,High School,Contract,Married,No,Yes,Business,No,1
LID-10194,35,528000,210000,768,13,6,10.1,60,0.32,Bachelor's,Salaried,Married,No,Yes,Home,No,0
LID-10195,36,394000,135000,627,70,6,14.6,36,0.47,Bachelor's,Salaried,Single,No,No,Business,No,0
LID-10196,47,476000,135000,698,68,5,9.9,36,0.21,Master's,Salaried,Married,No,Yes,Education,No,0
LID-10197,55,451000,105000,768,130,6,10.3,48,0.3,High School,Salaried,Single,No,No,Education,No,0
LID-10198,54,743000,185000,737,57,5,10.3,24,0.37,Master's,Salaried,Married,No,No,Business,Yes,0
LID-10199,49,581000,155000,701,129,8,9.9,24,0.21,Bachelor's,Salaried,Married,Yes,Yes,Business,No,0
LID-10200,44,445000,70000,818,62,1,8.5,60,0.24,Bachelor's,Salaried,Married,No,No,Auto,No,0
LID-10201,28,923000,285000,670,36,3,12.7,12,0.28,PhD,Salaried,Single,No,No,Other,No,0
LID-10202,31,504000,120000,736,90,2,11.0,12,0.38,High School,Salaried,Married,No,Yes,Auto,No,0
LID-10203,55,821000,330000,562,32,2,12.7,24,0.29,Bachelor's,Salaried,Single,No,No,Auto,Yes,0
LID-10204,43,559000,165000,499,56,5,16.6,24,0.34,Bachelor's,Self-employed,Single,Yes,No,Business,No,1
LID-10205,23,145000,65000,652,19,6,12.4,60,0.22,Bachelor's,Salaried,Single,No,No,Home,Yes,0
LID-10206,29,820000,365000,768,46,7,8.7,60,0.2,Bachelor's,Salaried,Divorced,No,No,Business,No,0
LID-10207,45,431000,110000,690,50,5,12.5,24,0.32,High School,Salaried,Married,No,Yes,Home,Yes,0
LID-10208,22,389000,55000,655,22,8,12.4,12,0.49,Bachelor's,Salaried,Married,Yes,Yes,Auto,No,0
LID-10209,31,467000,195000,586,33,6,15.0,12,0.45,Bachelor's,Self-employed,Single,No,Yes,Business,No,1
LID-10210,41,331000,100000,626,109,3,12.9,36,0.15,Bachelor's,Salaried,Married,No,No,Business,No,0
LID-10211,46,454000,135000,682,26,2,13.2,24,0.35,High School,Salaried,Single,No,No,Home,No,0
LID-10212,44,289000,140000,731,117,4,11.4,24,0.41,Bachelor's,Salaried,Divorced,Yes,No,Education,No,0
LID-10213,33,807000,210000,850,149,5,8.5,48,0.21,Bachelor's,Salaried,Single,No,No,Home,No,0
LID-10214,46,376000,180000,612,98,4,14.7,48,0.46,High School,Salaried,Divorced,No,No,Home,No,1
LID-10215,33,324000,55000,651,57,8,13.4,36,0.31,Bachelor's,Salaried,Married,No,Yes,Auto,No,0
LID-10216,35,241000,45000,633,36,3,11.0,24,0.14,High School,Salaried,Married,No,Yes,Business,No,0
LID-10217,48,464000,160000,759,39,8,8.5,60,0.26,Bachelor's,Salaried,Married,No,No,Other,No,0
LID-10218,44,444000,140000,584,27,2,16.9,12,0.53,Master's,Contract,Married,No,Yes,Home,No,1
LID-10219,52,496000,130000,485,98,10,18.3,24,0.36,Bachelor's,Salaried,Single,No,No,Business,Yes,0
LID-10220,44,228000,65000,730,166,8,10.4,36,0.18,Bachelor's,Salaried,Married,No,No,Education,No,0
LID-10221,42,166000,55000,494,24,8,18.0,36,0.42,Master's,Self-employed,Married,No,No,Business,Yes,1
LID-10222,28,565000,290000,739,71,2,11.7,12,0.34,Bachelor's,Self-employed,Single,No,No,Education,No,0
LID-10223,36,906000,255000,405,85,5,16.7,48,0.17,Bachelor's,Salaried,Married,No,Yes,Business,Yes,1
LID-10224,34,228000,75000,733,130,6,10.3,12,0.25,PhD,Self-employed,Single,No,No,Business,No,0
LID-10225,33,960000,340000,670,120,5,13.2,12,0.17,Bachelor's,Salaried,Divorced,No,Yes,Business,No,0
LID-10226,61,468000,70000,733,68,3,9.7,12,0.41,Bachelor's,Salaried,Married,No,Yes,Business,No,0
LID-10227,37,399000,85000,563,125,5,14.5,12,0.29,Bachelor's,Self-employed,Single,No,Yes,Education,No,0
LID-10228,55,322000,100000,715,113,2,10.7,36,0.24,Master's,Contract,Married,No,Yes,Business,No,0
LID-10229,44,187000,55000,658,12,9,13.3,48,0.18,Bachelor's,Salaried,Single,No,No,Auto,No,0
LID-10230,50,689000,185000,641,47,1,12.1,24,0.38,High School,Salaried,Married,No,Yes,Business,No,0
LID-10231,40,261000,110000,541,85,3,14.7,12,0.26,High School,Self-employed,Divorced,No,Yes,Education,No,0
LID-10232,42,261000,50000,733,174,4,11.0,24,0.32,High School,Salaried,Married,Yes,Yes,Education,No,0
LID-10233,39,691000,85000,649,71,2,12.8,12,0.38,Bachelor's,Contract,Single,No,No,Home,No,0
LID-10234,32,142000,50000,611,128,2,15.3,24,0.45,Master's,Salaried,Married,No,Yes,Auto,No,0
LID-10235,47,173000,25000,713,94,2,10.0,36,0.17,Bachelor's,Self-employed,Married,No,Yes,Home,No,0
LID-10236,34,396000,210000,568,51,2,13.6,24,0.31,High School,Salaried,Single,No,No,Home,Yes,0
LID-10237,24,470000,125000,768,43,4,10.8,24,0.32,Master's,Salaried,Single,No,No,Home,No,0
LID-10238,44,523000,175000,614,144,4,13.3,60,0.26,Bachelor's,Salaried,Single,Yes,Yes,Auto,No,0
LID-10239,31,339000,215000,674,48,2,14.0,36,0.42,Bachelor's,Salaried,Divorced,No,Yes,Education,No,0
LID-10240,58,1610000,190000,624,46,6,14.3,12,0.54,Bachelor's,Salaried,Married,Yes,Yes,Business,No,0
LID-10241,59,353000,70000,582,137,4,14.8,24,0.26,Master's,Self-employed,Married,No,Yes,Home,No,0
LID-10242,56,353000,45000,654,98,5,14.1,12,0.39,Bachelor's,Salaried,Single,No,No,Business,No,0
LID-10243,36,258000,165000,700,148,4,11.6,12,0.34,High School,Salaried,Married,Yes,No,Education,No,0
